title,author,groups,maxgroup
The Martian,Andy Weir,6,6
Career of Evil (Cormoran Strike),Robert Galbraith,5,5
The Crossing (Bosch),Michael Connelly,5,5
The Guilty (Will Robie),David Baldacci,2,2
Ready Player One: A Novel,Ernest Cline,0,0
A Banquet of Consequences: A Lynley Novel (Inspector Lynley Novel),Elizabeth George,0,0
What She Left Behind,Ellen Marie Wiseman,0,0
Big Little Lies,Liane Moriarty,6,6
Cross Justice (Alex Cross),James Patterson,6,6
Crimson Shore (Agent Pendergast series),Douglas Preston,0,0
Treasure Hunters: Secret of the Forbidden City,James Patterson,5,5
Foreign Affairs (A Stone Barrington Novel),Stuart Woods,5,5
"In a Dark, Dark Wood",Ruth Ware,6,6
The Nature of the Beast: A Chief Inspector Gamache Novel,Louise Penny,6,6
Gone Girl,Gillian Flynn,2,2
The Good Girl,Mary Kubica,6,6
Girl Waits with Gun,Amy Stewart,6,6
Playing with Fire: A Novel,Tess Gerritsen,2,2
The Scam: A Fox and O'Hare Novel,Janet Evanovich,6,6
Alert (Michael Bennett),James Patterson,5,5
The Haunting of Hill House (Penguin Classics),Shirley Jackson,6,6
Friction,Sandra Brown,6,6
The Bone Labyrinth: A Sigma Force Novel (Sigma Force Novels),James Rollins,6,6
Extreme Prey,John Sandford,4,4
The Grownup: A Story by the Author of Gone Girl,Gillian Flynn,2,2
Ashley Bell: A Novel,Dean Koontz,6,6
The Longmire Mystery Series Boxed Set Volumes 1-9 (Walt Longmire Mystery),Craig Johnson,6,6
The Sherlock Holmes Book (Big Ideas Simply Explained),DK Publishing,6,6
Faux Paw: A Magical Cats Mystery,Sofie Kelly,6,6
The Bone Tree (Penn Cage),Greg Iles,6,6
Dark Corners: A Novel,Ruth Rendell,7,7
Corridors of the Night: A William Monk Novel,Anne Perry,6,6
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,6,6
Running Blind: A Jack Reacher Novel,Lee Child,6,6
Joyland (Illustrated Edition),Stephen King,6,6
The Melody Lingers On,Mary Higgins Clark,6,6
The Round House: A Novel,Louise Erdrich,4,4
A Gala Event (An Orchard Mystery),Sheila Connolly,6,6
The Cold Dish: A Longmire Mystery,Craig Johnson,5,5
A Christmas Escape: A Novel,Anne Perry,6,6
Wrath of the Furies: A Novel of the Ancient World (Novels of Ancient Rome),Steven Saylor,6,6
A Beam of Light (Inspector Montalbano),Andrea Camilleri,6,6
The Complete Sherlock Holmes (2 Volumes),Sir Arthur Conan Doyle,6,6
Home by Nightfall: A Charles Lenox Mystery (Charles Lenox Mysteries),Charles Finch,4,4
Bury Your Dead: A Chief Inspector Gamache Novel,Louise Penny,6,6
Devil in a Blue Dress (Easy Rawlins Mysteries),Walter Mosley,4,4
Carl Weber's Kingpins: Miami,Nikki Turner,2,2
Rose Gold: An Easy Rawlins Mystery,Walter Mosley,"0,4",0
Shetani's Sister (Vintage Crime/Black Lizard),Iceberg Slim,6,6
Black Water Rising: A Novel (Jay Porter Series),Attica Locke,6,6
All I Did Was Shoot My Man: A Leonid McGill Mystery,Walter Mosley,2,2
The Color of Justice,Ace Collins,6,6
Kenyatta's Escape (Holloway House Originals),Donald Goines,6,6
Gold of Our Fathers (A Darko Dawson Mystery),Kwei Quartey,6,6
What's Done in Darkness: A Novel,Kayla Perrin,2,2
Skies of Ash (Detective Elouise Norton),Rachel Howzell Hall,6,6
"He Loves Me, He Loves You Not PT 3",Mychea,2,2
When the Thrill Is Gone: A Leonid McGill Mystery,Walter Mosley,2,2
Wingate Beach,Jacqueline West,0,0
The Player & the Game (A Gibbons Gold Digger Novel),Shelly Ellis,4,4
Waking with Enemies (Gideon Series),Eric Jerome Dickey,6,6
Exposed (Exposed Series),Naomi Chase,0,0
Bury Me When I'm Dead: A Charlie Mack Motown Mystery,Cheryl A Head,6,6
We'll Never Tell,Kayla Perrin,2,2
It's A New Day,Roy Glenn,6,6
Swing,Miasha,5,5
The Dead Man's Wife (Mike Coletti),Solomon Jones,6,6
Mind Your Own Business,Lutishia Lovely,6,6
Friends & Foes,ReShonda Tate Billingsley,6,6
A Cold and Silent Dying (Marti Macalister Mysteries),Eleanor Taylor Bland,7,7
Tease,Keith Gaston,4,4
The Goat Woman of Largo Bay: A Novel (A Shadrack Myers Mystery),Gillian Royes,0,0
Whispers in the Dark (Marti Macalister),Eleanor Taylor Bland,5,5
Black Betty (Easy Rawlins Mysteries),Walter Mosley,"0,2",0
Writing All Wrongs (A Books by the Bay Mystery),Ellery Adams,5,5
Florist Grump: A Flower Shop Mystery,Kate Collins,0,0
Cocaine Blues: A Phryne Fisher Mystery (Phryne Fisher Mysteries),Kerry Greenwood,0,0
Death Wears a Mask: A Mystery (An Amory Ames Mystery),Ashley Weaver,6,6
Flipped For Murder (Country Store Mystery),Maddie Day,6,6
Louisiana Longshot: A Miss Fortune Mystery (Volume 1),Jana DeLeon,0,0
The Thames River Murders (Captain Lacey Regency Mysteries) (Volume 10),Ashley Gardner,6,6
Books of a Feather: A Bibliophile Mystery,Kate Carlisle,2,2
Under an English Heaven: An Ellie Kent Mystery,Alice K Boatwright,5,5
Lethal Bayou Beauty (Miss Fortune Mystery Series) (Volume 2),Jana DeLeon,0,0
The Florentine Deception: A Novel,Carey Nachenberg,5,5
Breach of Crust: A Charmed Pie Shoppe Mystery,Ellery Adams,5,5
The Deep End (The Country Club Murders) (Volume 1),Julie Mulhern,6,6
Soldiers of Fortune (A Miss Fortune Mystery) (Volume 6),Jana DeLeon,0,0
Silent Murders: A Mystery (A Roaring Twenties Mystery),Mary Miley,0,0
Off the Books: A Novel Idea Mystery,Lucy Arlington,6,6
"The Good, the Bad, and the Emus: A Meg Langslow Mystery (Meg Langslow Mysteries)",Donna Andrews,"2,6",2
Pride v. Prejudice: A Claire Malloy Mystery (Claire Malloy Mysteries),Joan Hess,5,5
Switcheroo (A Gideon Oliver Mystery),Aaron Elkins,4,4
For Cheddar or Worse: A Cheese Shop Mystery,Avery Aames,6,6
Death in the Floating City: A Lady Emily Mystery (Lady Emily Mysteries),Tasha Alexander,7,7
The Murder at Sissingham Hall (An Angela Marchmont Mystery Book 1),Clara Benson,2,2
A Murder in Mohair (A Black Sheep Knitting Mystery),Anne Canadeo,0,0
A Batter of Life and Death: A Bakeshop Mystery,Ellie Alexander,4,4
Death of the Keynote Speaker,Sharon L Dean,6,6
A Beeline to Murder (A Henny Penny Farmette Mystery),Meera Lester,6,6
On Thin Icing (A Bakeshop Mystery),Ellie Alexander,5,5
Three Sisters (Emily Castles Mysteries),Helen Smith,6,6
Sins of the Sisters,DeeAnn Mallow,6,6
Hercule Poirot: The Complete Short Stories: A Hercule Poirot Collection with Foreword by Charles Todd (Hercule Poirot Mysteries),Agatha Christie,4,4
The Melancholy Death of Oyster Boy & Other Stories,Tim Burton,6,6
Raymond Chandler: The Library of America Edition,Raymond Chandler,5,5
The Black Lizard Big Book of Locked-Room Mysteries (Vintage Crime/Black Lizard),Otto Penzler,6,6
All for a Few Perfect Waves: The Audacious Life and Legend of Rebel Surfer Miki Dora,David Rensin,5,5
Japanese Tales of Mystery and Imagination,Edogawa Rampo,6,6
Parker Pyne Investigates: A Parker Pyne Collection,Agatha Christie,6,6
Raymond Chandler: Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback /Double Indemnity / Selected Essays and Letters (Library of America),Raymond Chandler,1,1
Resorting to Murder: Holiday Mysteries: A British Library Crime Classic (British Library Crime Classics),Martin Edwards,5,5
Candy Cane Murder,Laura Levine,6,6
An Occurrence at Owl Creek Bridge and Other Stories (Dover Thrift Editions),Ambrose Bierce,6,6
Crime: Stories,Ferdinand von Schirach,5,5
Challenge The Widow-Maker And Other Stories Of People In Peril,Clark Howard,0,0
A Study in Scarlet,Sir Arthur Conan Doyle,5,5
Pyramid: And Four Other Kurt Wallander Mysteries,Henning Mankell,6,6
Rameau's Nephew and D'Alembert's Dream (Penguin Classics),Denis Diderot,6,6
Dashiell Hammett: Crime Stories and Other Writings (Library of America),Dashiell Hammett,2,2
Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries),Agatha Christie,6,6
The Brutal Telling: A Chief Inspector Gamache Novel,Louise Penny,6,6
"A Trick of the Light (Chief Inspector Gamache, Book 7) (Chief Inspector Gamache Novel)",Louise Penny,6,6
In the Dark Places: An Inspector Banks Novel (Inspector Banks Novels),Peter Robinson,6,6
Mr. Churchill's Secretary: A Maggie Hope Mystery,Susan Elia MacNeal,6,6
The Santa Klaus Murder: A British Library Crime Classic (British Library Crime Classics),Mavis Hay,2,2
The Hound of the Baskervilles (Dover Thrift Editions),Sir Arthur Conan Doyle,6,6
A Question of Inheritance (A Very English Mystery),Elizabeth Edmondson,2,2
The Prime Minister's Secret Agent (Maggie Hope),Susan Elia MacNeal,5,5
Raven Black: Book One of the Shetland Island Quartet (Shetland Island Mysteries),Ann Cleeves,6,6
Just One Evil Act: A Lynley Novel,Elizabeth George,0,0
Game of Mirrors (Inspector Montalbano),Andrea Camilleri,6,6
A Death in the Family (Penguin Classics),James Agee,6,6
The Mysterious Affair at Styles: Hercule Poirot's First Case (Hercule Poirot Mysteries),Agatha Christie,6,6
The Laws of Murder: A Charles Lenox Mystery (Charles Lenox Mysteries),Charles Finch,4,4
Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle,5,5
The Sherlock Files: The Official Companion to the Hit Television Series,Guy Adams,5,5
"Sherlock Holmes: The Complete Novels and Stories, Vol. 1",Sir Arthur Conan Doyle,6,6
Ghost of a Potion: A Magic Potion Mystery,Heather Blake,6,6
Trimmed with Murder: A Seaside Knitters Mystery,Sally Goldenbaum,6,6
Booked for Trouble: A Lighthouse Library Mystery,Eva Gates,6,6
Suspect,Robert Crais,5,5
Rest Ye Murdered Gentlemen (A Year-Round Christmas Mystery),Vicki Delany,6,6
"The Cat, the Sneak and the Secret: A Cats in Trouble Mystery",Leann Sweeney,6,6
White Colander Crime (A Vintage Kitchen Mystery),Victoria Hamilton,6,6
Nine Lives: A Lily Dale Mystery,Wendy Corsi Staub,6,6
Killer Jam,Karen MacInerney,6,6
"Day Shift: A Novel of Midnight, Texas",Charlaine Harris,6,6
"The Children Return: A Bruno, Chief of Police novel (Bruno, Chief of Police Series)",Martin Walker,6,6
Joanne Fluke's Lake Eden Cookbook:: Hannah Swensen's Recipes from The Cookie Jar,Joanne Fluke,6,6
Give Up the Ghost: A Haunted Home Renovation Mystery,Juliet Blackwell,0,0
Basket Case (A Silver Six Mystery),Nancy Haddock,6,6
Peril in Paperback: A Bibliophile Mystery (Bibliophile Mysteries),Kate Carlisle,2,2
Cast Iron Conviction (The Cast Iron Cooking Mysteries) (Volume 2),Jessica Beck,4,4
Nine Lives to Die: A Mrs. Murphy Mystery,Rita Mae Brown,6,6
Cat Shout for Joy: A Joe Grey Mystery (Joe Grey Mystery Series),Shirley Rousseau Murphy,6,6
Haunt Couture and Ghosts Galore (A Haunted Vintage Mystery),Rose Pressey,6,6
"Death, Taxes, and a Chocolate Cannoli (A Tara Holloway Novel)",Diane Kelly,6,6
To Fetch a Thief: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series),Spencer Quinn,6,6
Robert B. Parker's Blind Spot (A Jesse Stone Novel),Reed Farrel Coleman,6,6
The Girl With the Deep Blue Eyes,Lawrence Block,6,6
Brush Back (A V.I. Warshawski Novel),Sara Paretsky,6,6
The Bangkok Asset: A novel,John Burdett,4,4
Lost Light (A Harry Bosch Novel),Michael Connelly,5,5
Robert B. Parker's Damned If You Do (A Jesse Stone Novel),Michael Brandman,5,5
Pulp,Charles Bukowski,4,4
Killers: A Novel,Howie Carr,6,6
The Closers (Harry Bosch),Michael Connelly,5,5
Death in a Strange Country: A Commissario Guido Brunetti Mystery,Donna Leon,2,2
Light of the World: A Dave Robicheaux Novel,James Lee Burke,6,6
The Thin Man,Dashiell Hammett,2,2
The Monkey's Raincoat  (Elvis Cole),Robert Crais,5,5
Robert B. Parker's Cheap Shot (Spenser),Ace Atkins,6,6
"Drop Shot (Myron Bolitar, Book 2)",Harlan Coben,5,5
Willful Behavior (Commissario Guido Brunetti Mystery),Donna Leon,2,2
Hidden Prey,John Sandford,4,4
The Big Nowhere,James Ellroy,6,6
Inherit the Dead: A Novel,Lee Child,6,6
Die Trying: A Jack Reacher Novel,Lee Child,6,6
"Stalking the Angel (Elvis Cole, Book 2)",Robert Crais,5,5
E is for Evidence (The Kinsey Millhone Alphabet Mysteries),Sue Grafton,7,7
The Black-Eyed Blonde: A Philip Marlowe Novel (Philip Marlowe Series),Benjamin Black,0,0
Fade Away (Myron Bolitar),Harlan Coben,6,6
"""A"" is for Alibi (A Kinsey Millhone Mystery, Book 1)",Sue Grafton,2,2
Quarry's Deal,Max Allan Collins,6,6
Perfume: The Story of a Murderer,Patrick Suskind,6,6
A Curious Beginning: A Veronica Speedwell Mystery,Deanna Raybourn,6,6
The Scottish Prisoner: A Novel (Lord John Grey),Diana Gabaldon,4,4
A Fine Summer's Day: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries),Charles Todd,4,4
The Paris Key,Juliet Blackwell,4,4
The Constable's Tale: A Novel of Colonial America,Donald Smith,5,5
As Chimney Sweepers Come to Dust: A Flavia de Luce Novel,Alan Bradley,1,1
Leaving Everything Most Loved (Maisie Dobbs),Jacqueline Winspear,0,0
The Wettest County in the World: A Novel Based on a True Story,Matt Bondurant,6,6
Murder in Morningside Heights: A Gaslight Mystery,Victoria Thompson,6,6
