title,author
The Martian,Andy Weir
Career of Evil (Cormoran Strike),Robert Galbraith
The Crossing (Bosch),Michael Connelly
The Guilty (Will Robie),David Baldacci
Ready Player One: A Novel,Ernest Cline
One Year After: A Novel,William R. Forstchen
A Banquet of Consequences: A Lynley Novel (Inspector Lynley Novel),Elizabeth George
What She Left Behind,Ellen Marie Wiseman
Big Little Lies,Liane Moriarty
Cross Justice (Alex Cross),James Patterson
Crimson Shore (Agent Pendergast series),Douglas Preston
Treasure Hunters: Secret of the Forbidden City,James Patterson
Foreign Affairs (A Stone Barrington Novel),Stuart Woods
"In a Dark, Dark Wood",Ruth Ware
Devoted in Death,J. D. Robb
The Nature of the Beast: A Chief Inspector Gamache Novel,Louise Penny
The Light Between Oceans,M.L. Stedman
Gone Girl,Gillian Flynn
The Good Girl,Mary Kubica
Girl Waits with Gun,Amy Stewart
Playing with Fire: A Novel,Tess Gerritsen
The Scam: A Fox and O'Hare Novel,Janet Evanovich
Alert (Michael Bennett),James Patterson
The Haunting of Hill House (Penguin Classics),Shirley Jackson
Friction,Sandra Brown
Mycroft Holmes,Kareem Abdul-Jabbar
Brotherhood in Death,J. D. Robb
The Bone Labyrinth: A Sigma Force Novel (Sigma Force Novels),James Rollins
Extreme Prey,John Sandford
The Grownup: A Story by the Author of Gone Girl,Gillian Flynn
Ghost Fleet: A Novel of the Next World War,P. W. Singer
Ashley Bell: A Novel,Dean Koontz
The Longmire Mystery Series Boxed Set Volumes 1-9 (Walt Longmire Mystery),Craig Johnson
The Sherlock Holmes Book (Big Ideas Simply Explained),DK Publishing
Faux Paw: A Magical Cats Mystery,Sofie Kelly
Dance of the Bones: A J. P. Beaumont and Brandon Walker Novel,J. A. Jance
The Bone Tree (Penn Cage),Greg Iles
Dark Corners: A Novel,Ruth Rendell
The Hanging Girl: A Department Q Novel,Jussi Adler-Olsen
Corridors of the Night: A William Monk Novel,Anne Perry
The Girl Who Played with Fire (Millennium Series),Stieg Larsson
Running Blind: A Jack Reacher Novel,Lee Child
Joyland (Illustrated Edition),Stephen King
The Melody Lingers On,Mary Higgins Clark
The Round House: A Novel,Louise Erdrich
A Gala Event (An Orchard Mystery),Sheila Connolly
The Cold Dish: A Longmire Mystery,Craig Johnson
A Christmas Escape: A Novel,Anne Perry
Wrath of the Furies: A Novel of the Ancient World (Novels of Ancient Rome),Steven Saylor
A Beam of Light (Inspector Montalbano),Andrea Camilleri
The Complete Sherlock Holmes (2 Volumes),Sir Arthur Conan Doyle
Home by Nightfall: A Charles Lenox Mystery (Charles Lenox Mysteries),Charles Finch
Bury Your Dead: A Chief Inspector Gamache Novel,Louise Penny
Devil in a Blue Dress (Easy Rawlins Mysteries),Walter Mosley
Carl Weber's Kingpins: Miami,Nikki Turner
Rose Gold: An Easy Rawlins Mystery,Walter Mosley
Shetani's Sister (Vintage Crime/Black Lizard),Iceberg Slim
Black Water Rising: A Novel (Jay Porter Series),Attica Locke
All I Did Was Shoot My Man: A Leonid McGill Mystery,Walter Mosley
The Color of Justice,Ace Collins
Kenyatta's Escape (Holloway House Originals),Donald Goines
